run_label,scenario,seed,device,sim_time_ms,utilization_fraction
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1600.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1600.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1625.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1625.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1625.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1625.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1625.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1650.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1650.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1650.000,0.000000
